0_1 | 1
10_26 | -1*v^2*z^6 + -1*z^6 + v^4*z^4 + -4*v^2*z^4 + -3*z^4 + v^-2*z^4 + 3*v^4*z^2 + -6*v^2*z^2 + -2*z^2 + 2*v^-2*z^2 + 2*v^4 + -3*v^2 + 1 + v^-2
10_27, 12n_471, 12n_645 | v^-2*z^6 + v^-4*z^6 + -1*z^4 + 3*v^-2*z^4 + 3*v^-4*z^4 + -1*v^-6*z^4 + -2*z^2 + 3*v^-2*z^2 + 3*v^-4*z^2 + -2*v^-6*z^2 + v^-2 + v^-4 + -1*v^-6
10_28, 12n_342 | z^4 + 2*v^-2*z^4 + v^-4*z^4 + -1*v^2*z^2 + 4*v^-2*z^2 + v^-4*z^2 + -1*v^-6*z^2 + -1 + 3*v^-2 + -1*v^-6
10_29 | v^2*z^6 + -2*v^4*z^4 + 3*v^2*z^4 + -2*z^4 + v^6*z^2 + -4*v^4*z^2 + 3*v^2*z^2 + -5*z^2 + v^-2*z^2 + v^6 + -1*v^4 + v^2 + -2 + 2*v^-2
10_30 | -1*v^6*z^4 + -2*v^4*z^4 + -1*v^2*z^4 + v^8*z^2 + -2*v^4*z^2 + v^2*z^2 + z^2 + -1*v^4 + 2*v^2
10_31 | v^2*z^4 + 2*z^4 + v^-2*z^4 + -1*v^4*z^2 + 3*z^2 + v^-2*z^2 + -1*v^-4*z^2 + -1*v^2 + 2 + v^-2 + -1*v^-4
10_32, 13n_3568 | -1*v^2*z^6 + -1*z^6 + v^4*z^4 + -3*v^2*z^4 + -3*z^4 + v^-2*z^4 + 2*v^4*z^2 + -2*v^2*z^2 + -3*z^2 + 2*v^-2*z^2 + v^2 + -1 + v^-2
10_33, 12n_278 | v^2*z^4 + 2*z^4 + v^-2*z^4 + -1*v^4*z^2 + 2*z^2 + -1*v^-4*z^2 + 1
10_34 | z^4 + v^-2*z^4 + v^-4*z^4 + -1*v^2*z^2 + 2*z^2 + v^-2*z^2 + 2*v^-4*z^2 + -1*v^-6*z^2 + -1*v^2 + 2 + v^-4 + -1*v^-6
10_35, 12n_48 | z^4 + v^-2*z^4 + -2*v^2*z^2 + -2*v^-4*z^2 + v^4 + -1*v^2 + 1 + -1*v^-4 + v^-6
10_36 | -1*v^6*z^4 + -1*v^4*z^4 + -1*v^2*z^4 + v^8*z^2 + -1*v^6*z^2 + v^4*z^2 + -1*v^2*z^2 + z^2 + -1*v^6 + 2*v^4 + -1*v^2 + 1
10_37 | v^2*z^4 + 2*z^4 + v^-2*z^4 + -1*v^4*z^2 + v^2*z^2 + 3*z^2 + v^-2*z^2 + -1*v^-4*z^2 + -1*v^4 + v^2 + 1 + v^-2 + -1*v^-4
10_38, 12n_343 | -1*v^6*z^4 + -2*v^4*z^4 + -1*v^2*z^4 + v^8*z^2 + -3*v^4*z^2 + z^2 + v^6 + -2*v^4 + v^2 + 1
10_39, 12n_215 | -1*v^6*z^6 + -1*v^4*z^6 + v^8*z^4 + -3*v^6*z^4 + -3*v^4*z^4 + v^2*z^4 + 2*v^8*z^2 + -2*v^6*z^2 + -2*v^4*z^2 + 3*v^2*z^2 + -1*v^4 + 2*v^2
10_40, 10_103, 12n_412 | v^-2*z^6 + v^-4*z^6 + -1*z^4 + 3*v^-2*z^4 + 3*v^-4*z^4 + -1*v^-6*z^4 + -2*z^2 + 4*v^-2*z^2 + 3*v^-4*z^2 + -2*v^-6*z^2 + -1 + 3*v^-2 + -1*v^-6
10_41 | v^2*z^6 + -2*v^4*z^4 + 3*v^2*z^4 + -2*z^4 + v^6*z^2 + -4*v^4*z^2 + 4*v^2*z^2 + -4*z^2 + v^-2*z^2 + v^6 + -2*v^4 + 2*v^2 + -1 + v^-2
